Дата начисления;Группа услуг;Тип начисления;Артикул;Название товара;Количество;Цена продавца;Вознаграждение Ozon, %;Сумма итого, руб.
06.02.2026;Услуги партнёров;Эквайринг;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;0,00 ₽;0%;-23,32 ₽
10.02.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-50,00 ₽
10.02.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ₽;35%;-10,00 ₽
10.02.2026;Услуги доставки;Логистика;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ₽;35%;-99,64 ₽
10.02.2026;Продажи;Выручка;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ₽;0%;1 889,73 ₽
10.02.2026;Продажи;Программы партнёров;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ₽;0%;18,90 ₽
10.02.2026;Продажи;Баллы за скидки;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ₽;0%;833,37
10.02.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ₽;35%;-959,70 ₽
10.02.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ₽;35%;-20,00 ₽
10.02.2026;Услуги партнёров;Доставка до места выдачи;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;2 742,00 ₽;35%;-14,53 ₽
15.02.2026;Услуги партнёров;Эквайринг;DU-02G-1;Порох Храм неба 1 кг зеленый чай;1;0,00 ₽;0%;-39,28 ₽
17.02.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-100,00 ₽
17.02.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ₽;35%;-10,00 ₽
17.02.2026;Услуги доставки;Логистика;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ₽;35%;-99,64 ₽
17.02.2026;Продажи;Выручка;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ₽;0%;1 227,40 ₽
17.02.2026;Продажи;Программы партнёров;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ₽;0%;12,27 ₽
17.02.2026;Продажи;Баллы за скидки;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ₽;0%;529,33
